FOR SCREEN SPECIFIC FEEDBACK THIS IS THE CORRESPONDING UX,FEEDBACK TYPE,OVASKA NOTES,CO Response
"• We should add the ability to filter on the region pills above the sales reps, similar to vehicle on the charts in the middle. That being said, if we are providing the ability to swap dimension in the grids/charts, not sure this makes sense as those pills should update based on the selected dimension (e.g. region above salesperson). The user can always just leverage the main filter control panel.",see line 8,,
"• Suggest putting Region description next to Sales Rep name rather than below the name, similar to how Channel appears in the Firm table? Most firms will have many wholesalers, this way you can see more sales reps in the table?",feedback for a specific view,,
"• In the Category table, the 1st column header is called ""Fund Category"" however this crosses all vehicles, I would label as ""Category"".",feedback for a specific view,,
•,,,
,,,
Opportunity,,,
"• The Client table, the sub label is ""Client"" but these will either be a Team or FA, suggest labeling ""Team/FA"".",feedback for a specific view,,
"• It's not clear that you can click on the competitive advantage flag to the left of the Team/FA name, any suggestions? Maybe add header?",feedback for a specific view,,
"• Not sure we need the FA vs Team type, think this is intuitive by the name?",feedback for a specific view,,
• Can we add the ability to filter Team/FA based on Comp Adv flag/pill on top of grid? Can use overall filter if gets too complicated?,feedback for a specific view,,
"• Heat Map - I see you have ability to customize but not sure we want to give ability to change chart type or change measure/compare; I do think you want ability to view at city, state, metro and zip levels but the bubbles would change based on the geo selection - bubble per state or city or zip. I do think we want to give ability to change market share ranges for color coding of bubbles.","Need ""heat map customization"" user micro-journey",,
"• On the Category Tree chart, need to give some thought on how we overlay approved and recommended products as they will be specific to a firm, maybe a tooltip listing all products/firm combo for the respective category?","Need ""approved/recommended product"" user micro-journey",,
• Multi-select filter option in client view not working,feedback for a specific view,,
"• Territory Heat Map - Can the pop-up only appear when hovering over a specific bubble, rather than appearing as soon as mouse hovers anywhere within grid?",feedback for a specific view,,
,,,
Competitive Advantage,,,
Rename Client to Team/FA,feedback for a specific view,,
Need to add ability to drill into Team/FA detail page,"Need ""Team/FA detail"" user micro-journey",,
"@joe.smith Fischer @Tony Morris - thoughts on bottom 3 charts on Comp Adv page? I want to give some more thought on this. I like the scatterplot ability but in its current form its not set up correctly, (i.e. the size of the bubble should be aum, sales, or reds, the Y-azis 3-year performance and the X-axis fees,  Also the toggles arent working, but should prob default to Asset classes, and toggle to team/ FA (this way if you select an FA you can see what categories they are more performance conscious vs Expense conscious, also should swap to FA/Team not firm, and prob filter by vehicle (or maybe we only have MF and ETF information anyway, so the category should say MF-Large blend, ETF - Large blend, and be concatenated).  I like the comparison of the asset manager to the Competitors, but wonder if we can accomplish this on the same scatterplot graph (maybe a star for the AM clients product performance or in tool tip when hovered over bubble). Also I like the trend over time but not sure we will have this by month, possibly quarterly or yearly, and should be able to look at performance or expense over time (i.e. if I select an FA category I can see there average performance progressively getting worse).",,,
"Multi-select and de-select using left click mouse is not working across dashboard. Also, on the 'Client Asset Class' grid, a left-click of mouse highlights all records in most cases.",general UX feedback,,
"Tree Graph - If we plan to use during prospect demos, we may want to change some of the category names to reflect actual categories (e.g. remove 'Large Blend 2', 'Lge Growth', and maybe expand EM to 'Div Emer Mrkts')",feedback for a specific view,,
"We do not want to limit just to the top 10 Teams/FAs, they should have ability to scroll across all Teams/FAs.",feedback for a specific view,,
,,,
,,,
,,,
"We'll need to revisit the specific data elements displayed once we get actual data - I don't think we'll have the level of detail needed to be able to breakout distinct performance vs fee advantage opp $, at least for this dist intel product. I'm pretty sure SS&C only provides weighted perf rating difference and expense rating difference, then an overall greenspace $ amount per record. So those values would both show the same $ as the total comp adv (greenspace $) b/c greenspace requires an advantage across both (perf & exp). Perhaps we replace the distinct perf/fee fields with an 'Advantage Type' descriptive field including values: 'Strictly perf'; 'Strictly exp'; 'Both'; 'Neither'. However, if we go this route, it won't necessarily align with the how the total comp-adv (greenspace) $ amount is pre-calculated...for example, you may have instances where it shows an advantage in 'Neither', however there was actual greenspace $ amount populated b/c of the underlying share class comparison. We'll have to think through this further.",,,
• Dist Intel,,,
"I believe this page would only be for our RIA Network data, not applicable for the initial data pack unification - Distribution Intelligence offering. We can revisit as we progress those efforts. Need to align on this page, should this be called ""Signals""? Think we should we hold off on content/layout until we verify RIA Network data sources? How does this compare to Opportunities identified from Design Partner embedded intelligence - I would think wholesaler would want a combined view rather than 2 separate screens. ",,,
