FOR SCREEN SPECIFIC FEEDBACK THIS IS THE CORRESPONDING UX,FEEDBACK TYPE,OVASKA NOTES,CO Response,STATUS,HOW IT WAS SOLVED
"� We should discuss mobile (cell phone, tablet view). Ideally the layout will auto optimize based on the device.",general UX feedback,All of Field Product should be workable on mobile. Because the platform will be a workstation we need to be very thoughtful about key tasks users might want to action on smaller screens.,Noted,Not done,Mobile and tablet layouts not addressed.
"� What is purpose of the search at the top of the page vs the regular ""how can I help"" text box; shouldn't the user be able to type the question/search in the main text box?",general UX feedback,"A universal search would be ideal. I personally hate having competing search boxes. What I mean by universal search is that even if there are many search boxes on a screen the mech and results should be largely the same. There are emerging standards to accomplish this elegantly. Otherwise, if the search is intended to be so narrow that general search is clunky... it should be moved to be a filter or type-ahead.","Welcome suggestions but we definitley need filters and typically user needs to search through the dimension for what they want to fitler on, seems duplicative to have both",Done,"Removed the competing top-of-page search; the main ""how can I help"" box is the single entry point."
"� We made up those few examples of default questions listed below the text box - are we able to list most common or recent inquiries? Would the Suggested Actions work differently, maybe leverage learnings based on the specific user? I also see the paper clip icon, could be helpful allowing users to upload a file that we could match against the underlying data set; this could be helpful for events or lists the wholesalers may be managing? We will definitely have a lot more work to do here, once we have live data, thinking through the prompt engineering and testing results / methodology of the responses, and display of data lineage if the user desires to probe.",general UX feedback,"Suggested should be across two vectors at least: First, searches at the platform or Field-defined level. This will be us projecting a bit and that's intentional. Second, it should be user-level based on real activity.",Makes sense,Done,"Suggestions now run on two vectors: ""Suggested by Field"" (the curated, deliberately projective set) and ""Your recent questions"" driven by the user real activity, falling back to seeds only until they have asked something. Paper-clip upload matching against the dataset is NOT DONE."
"� When Ask Field delivers results, I do like the current list view and think easy to act on however we also discussed creating a visual version. Not sure how this would work, would it be based on the question asked or is it an option the user can select to see list vs. visual?",???,,,Not done,Visual version of results not built - the direction question was left unanswered.
"� The options at the bottom of the key insights, not sure we'll have the ability to schedule meeting or create marketing material and can view the client profile directly from the row so I think these can be removed.",general UX feedback,,,Done,Removed the schedule-meeting and create-marketing-material actions from the bottom of key insights.
,,,,,
Management,,,,,
"� The top 2 charts have market share label on the right axis however missing ""Market Opportunity"" label on the left axis.",feedback for a specific view,,,Done,Added a Mkt Opp title to the left axis on both top charts to match Mkt share on the right.
"� The top left chart is labeled Opp AUM vs Mkt Share but think we should call it ""Market Share Trend"" or just ""Trend"". With the ability to swap dimensions, the chart/table labels will need to by dynamic - e.g. if they swap Channel Breakdown chart to Region the label should update accordingly.",feedback for a specific view,,,Done,"Left chart renamed Market Share Trend. Chart and grid titles are now dynamic and follow the selected dimension, so pivoting the breakdown chart to Region retitles it Region Breakdown."
"� In the Channel Breakdown chart, not sure the line should be a single line across all channels but be independent for each channel/column; it makes sense in the trend chart to be a single line across time periods.",feedback for a specific view,,,Done,"Replaced the single connecting line with independent per-column markers, one Mkt Share reading per column. The trend chart keeps its line, where a single series across time periods is correct."
"� We should add the ability to filter on the region pills above the sales reps, similar to vehicle on the charts in the middle. That being said, if we are providing the ability to swap dimension in the grids/charts, not sure this makes sense as those pills should update based on the selected dimension (e.g. region above salesperson). The user can always just leverage the main filter control panel.",see line 8,,,Not done,Skipped per your own conclusion in the note - with swappable dimensions the pills would have to re-derive per pivot and the filter panel already covers it.
"� Suggest putting Region description next to Sales Rep name rather than below the name, similar to how Channel appears in the Firm table? Most firms will have many wholesalers, this way you can see more sales reps in the table?",feedback for a specific view,,,Done,"Region now sits inline beside the salesperson name instead of stacked below it, and row padding was tightened, so roughly 40% more rows are visible in the same tile."
"� In the Category table, the 1st column header is called ""Fund Category"" however this crosses all vehicles, I would label as ""Category"".",feedback for a specific view,,,Done,"First column header is now CATEGORY, applied when the grids became dimension-driven."
�,,,,,
,,,,,
Opportunity,,,,,
"� The Client table, the sub label is ""Client"" but these will either be a Team or FA, suggest labeling ""Team/FA"".",feedback for a specific view,,,Done,Sub-label changed to Team/FA.
"� It's not clear that you can click on the competitive advantage flag to the left of the Team/FA name, any suggestions? Maybe add header?",feedback for a specific view,,,Done,"Added an Adv column header above the flag and turned the dot into a proper control - 22px hit target with a hover ring and a tooltip reading ""click for the breakdown""."
"� Not sure we need the FA vs Team type, think this is intuitive by the name?",feedback for a specific view,,,Done,Removed the FA/Team type badge; the reclaimed width went to the name column.
� Can we add the ability to filter Team/FA based on Comp Adv flag/pill on top of grid? Can use overall filter if gets too complicated?,feedback for a specific view,,,Done,"Added Strong / Moderate / Low comp-adv pills above the grid. Multi-select, filtering the grid and feeding the top-bar chips."
"� Heat Map - I see you have ability to customize but not sure we want to give ability to change chart type or change measure/compare; I do think you want ability to view at city, state, metro and zip levels but the bubbles would change based on the geo selection - bubble per state or city or zip. I do think we want to give ability to change market share ranges for color coding of bubbles.","Need ""heat map customization"" user micro-journey",,,Partly done,"Chart type, measure and compare controls removed. Added geographic level (State / Metro / City / ZIP, with the subtitle stating what a bubble represents) and Mkt Share colour bands driving bubble fill, stroke, tooltip and summary. State and Metro are real rollups; ZIP is SYNTHETIC placeholder data pending the real dataset."
"� On the Category Tree chart, need to give some thought on how we overlay approved and recommended products as they will be specific to a firm, maybe a tooltip listing all products/firm combo for the respective category?","Need ""approved/recommended product"" user micro-journey",,,Not done,"Approved/recommended product overlay needs the micro-journey first - whether a category cell shows all firm/product combos, only the selected firm, or a rollup changes the design."
� Multi-select filter option in client view not working,feedback for a specific view,,,Done,"Root cause was single-string state, so a second click replaced the first. Now an array with per-row checkboxes, and KPIs sum across the selection."
"� Territory Heat Map - Can the pop-up only appear when hovering over a specific bubble, rather than appearing as soon as mouse hovers anywhere within grid?",feedback for a specific view,,,Done,Tooltip now fires only over a bubble instead of the nearest point anywhere in the plot area.
,,,,,
Competitive Advantage,,,,,
Rename Client to Team/FA,feedback for a specific view,,,Done,"Renamed throughout - tile titles are Team / FA Competitive Advantage and Team / FA Asset Class Competitive Advantage, and column headers are TEAM/FA."
Need to add ability to drill into Team/FA detail page,"Need ""Team/FA detail"" user micro-journey",,,Done,"Added an eye button on both grids opening the same detail page the other dashboards use. Note the adapter derives Mkt Opp and flow splits from each Team/FA AUM and comp-adv figures at an assumed ~19% share, since the advantage dataset has no opportunity columns - those ratios should be replaced with real ones."
"@joe.smith Fischer @Tony Morris - thoughts on bottom 3 charts on Comp Adv page? I want to give some more thought on this. I like the scatterplot ability but in its current form its not set up correctly, (i.e. the size of the bubble should be aum, sales, or reds, the Y-azis 3-year performance and the X-axis fees,� Also the toggles arent working, but should prob default to Asset classes, and toggle to team/ FA (this way if you select an FA you can see what categories they are more performance conscious vs Expense conscious, also should swap to FA/Team not firm, and prob filter by vehicle (or maybe we only have MF and ETF information anyway, so the category should say MF-Large blend, ETF - Large blend, and be concatenated).� I like the comparison of the asset manager to the Competitors, but wonder if we can accomplish this on the same scatterplot graph (maybe a star for the AM clients product performance or in tool tip when hovered over bubble). Also I like the trend over time but not sure we will have this by month, possibly quarterly or yearly, and should be able to look at performance or expense over time (i.e. if I select an FA category I can see there average performance progressively getting worse).",,,,Not done,"Bottom three charts rework still open for discussion - bubble axes and sizing, working toggles defaulting to asset classes, FA/Team rather than firm, vehicle-concatenated categories, competitor overlay on the same scatterplot, and quarterly/yearly trend."
"Multi-select and de-select using left click mouse is not working across dashboard. Also, on the 'Client Asset Class' grid, a left-click of mouse highlights all records in most cases.",general UX feedback,,,Done,"Two separate bugs. Competitive Advantage was still on single-select state, now an array with checkboxes. The Client Asset Class grid highlighted every record because highlighting keyed off the row category rather than the row identity, so one click lit up every row sharing that category; it now tracks Team/FA x category row identities and highlights only what was clicked. Also applied the rule that a grid never filters itself, so multi-select stays reachable."
"Tree Graph - If we plan to use during prospect demos, we may want to change some of the category names to reflect actual categories (e.g. remove 'Large Blend 2', 'Lge Growth', and maybe expand EM to 'Div Emer Mrkts')",feedback for a specific view,,,Done,"Renamed Large Blend 2 to Small Blend, Lge Growth to Mid-Cap Value and EM to Div Emer Mrkts, across the treemap, the holdings map and the colour table."
"We do not want to limit just to the top 10 Teams/FAs, they should have ability to scroll across all Teams/FAs.",feedback for a specific view,,,Done,Expanded from 8 rows to 19 with a scrollable body and sticky header; KPI subtext now reads Teams/FA rather than clients.
,,,,,
,,,,,
,,,,,
"We'll need to revisit the specific data elements displayed once we get actual data - I don't think we'll have the level of detail needed to be able to breakout distinct performance vs fee advantage opp $, at least for this dist intel product. I'm pretty sure SS&C only provides weighted perf rating difference and expense rating difference, then an overall greenspace $ amount per record. So those values would both show the same $ as the total comp adv (greenspace $) b/c greenspace requires an advantage across both (perf & exp). Perhaps we replace the distinct perf/fee fields with an 'Advantage Type' descriptive field including values: 'Strictly perf'; 'Strictly exp'; 'Both'; 'Neither'. However, if we go this route, it won't necessarily align with the how the total comp-adv (greenspace) $ amount is pre-calculated...for example, you may have instances where it shows an advantage in 'Neither', however there was actual greenspace $ amount populated b/c of the underlying share class comparison. We'll have to think through this further.",,,,Not done,Data elements and the proposed Advantage Type field to be revisited with real data.
� Dist Intel,,,,,
"I believe this page would only be for our RIA Network data, not applicable for the initial data pack unification - Distribution Intelligence offering. We can revisit as we progress those efforts. Need to align on this page, should this be called ""Signals""? Think we should we hold off on content/layout until we verify RIA Network data sources? How does this compare to Opportunities identified from Design Partner embedded intelligence - I would think wholesaler would want a combined view rather than 2 separate screens.�",,,,Not done,"Page scope, the Signals rename and the combined-view question are awaiting alignment."
